miRNA	Position in the UTR	seed match	context++ score	context++ score percentile	weighted context++ score	conserved branch length	Pct	Predicted relative KD
Conserved sites
hsa-miR-34c-5p	242-249	8mer	-0.64	 99	-0.58	4.257	0.87	-4.378
hsa-miR-34a-5p	242-249	8mer	-0.62	 99	-0.55	4.257	0.87	-4.671
hsa-miR-449b-5p	242-249	8mer	-0.65	 99	-0.58	4.257	0.87	-4.378
hsa-miR-449a	242-249	8mer	-0.63	 99	-0.57	4.257	0.87	-4.703
Poorly conserved sites
hsa-miR-455-3p.1	35-41	7mer-m8	-0.21	 93	-0.21	0.131	< 0.1	-3.073
hsa-miR-212-3p	37-43	7mer-m8	-0.22	 95	-0.22	0.766	< 0.1	-2.921
hsa-miR-132-3p	37-43	7mer-m8	-0.20	 94	-0.20	0.766	< 0.1	-2.558
hsa-miR-4709-5p	38-44	7mer-m8	-0.15	 92	-0.15	0.000	N/A	N/A
hsa-miR-5588-3p	43-49	7mer-m8	-0.26	 94	-0.26	0.000	N/A	N/A
hsa-miR-8081	46-52	7mer-m8	-0.13	 84	-0.13	0.000	N/A	N/A
hsa-miR-937-5p	46-52	7mer-1A	-0.11	 82	-0.11	0.000	N/A	N/A
hsa-miR-627-5p	46-52	7mer-1A	-0.08	 78	-0.08	0.088	N/A	-2.267
hsa-miR-6507-3p	53-59	7mer-m8	-0.17	 92	-0.17	0.000	N/A	N/A
hsa-miR-545-3p	57-63	7mer-m8	-0.11	 83	-0.11	0.088	N/A	-3.216
hsa-miR-15a-5p	59-65	7mer-m8	-0.23	 90	-0.23	0.215	< 0.1	-4.318
hsa-miR-424-5p	59-65	7mer-m8	-0.22	 90	-0.22	0.215	< 0.1	-5.313
hsa-miR-15b-5p	59-65	7mer-m8	-0.23	 90	-0.23	0.215	< 0.1	-4.318
hsa-miR-497-5p	59-65	7mer-m8	-0.22	 90	-0.22	0.215	< 0.1	-4.873
hsa-miR-195-5p	59-65	7mer-m8	-0.22	 89	-0.22	0.215	< 0.1	-4.318
hsa-miR-16-5p	59-65	7mer-m8	-0.22	 89	-0.22	0.215	< 0.1	-4.274
hsa-miR-6838-5p	59-65	7mer-m8	-0.21	 88	-0.21	0.215	< 0.1	-4.910
hsa-miR-570-3p	65-71	7mer-m8	-0.07	 70	-0.07	0.000	N/A	N/A
hsa-miR-4496	68-74	7mer-1A	-0.06	 93	-0.06	0.000	N/A	N/A
hsa-miR-5680	78-84	7mer-m8	-0.05	 94	-0.05	0.000	N/A	N/A
hsa-miR-3160-3p	88-94	7mer-m8	-0.34	 98	-0.34	0.000	N/A	N/A
hsa-miR-1276	91-97	7mer-m8	-0.17	 94	-0.17	0.010	N/A	-4.070
hsa-miR-545-3p	95-101	7mer-m8	-0.07	 71	-0.07	0.088	N/A	-3.385
hsa-miR-6838-5p	97-103	7mer-m8	-0.25	 92	-0.25	0.652	< 0.1	-4.890
hsa-miR-15a-5p	97-103	7mer-m8	-0.25	 92	-0.25	0.652	< 0.1	-4.033
hsa-miR-15b-5p	97-103	7mer-m8	-0.25	 92	-0.25	0.652	< 0.1	-4.033
hsa-miR-497-5p	97-103	7mer-m8	-0.23	 91	-0.23	0.652	< 0.1	-4.464
hsa-miR-424-5p	97-103	7mer-m8	-0.23	 91	-0.23	0.652	< 0.1	-4.901
hsa-miR-195-5p	97-103	7mer-m8	-0.24	 91	-0.24	0.652	< 0.1	-4.033
hsa-miR-16-5p	97-103	7mer-m8	-0.23	 90	-0.23	0.652	< 0.1	-3.921
hsa-miR-520d-5p	110-117	8mer	-0.33	 99	-0.33	0.082	N/A	-5.190
hsa-miR-524-5p	110-117	8mer	-0.34	 99	-0.34	0.082	N/A	-5.190
hsa-miR-181c-3p	129-135	7mer-1A	-0.28	 98	-0.28	0.000	N/A	N/A
hsa-miR-6858-3p	140-146	7mer-m8	-0.40	 99	-0.39	0.000	N/A	N/A
