miRNA	Position in the UTR	seed match	context++ score	context++ score percentile	weighted context++ score	conserved branch length	Pct	Predicted relative KD
Conserved sites
hsa-miR-3666	451-457	7mer-m8	-0.35	 98	-0.35	3.438	0.49	-4.008
hsa-miR-454-3p	451-457	7mer-m8	-0.36	 98	-0.36	3.438	0.49	-3.944
hsa-miR-130a-3p	451-457	7mer-m8	-0.38	 98	-0.38	3.438	0.49	-4.215
hsa-miR-130b-3p	451-457	7mer-m8	-0.36	 98	-0.36	3.438	0.49	-4.215
hsa-miR-301a-3p	451-457	7mer-m8	-0.34	 98	-0.34	3.438	0.49	-4.196
hsa-miR-301b-3p	451-457	7mer-m8	-0.34	 97	-0.34	3.438	0.49	-4.215
hsa-miR-4295	451-457	7mer-m8	-0.30	 96	-0.30	3.438	0.49	-4.215
hsa-miR-181c-5p	500-507	8mer	-0.33	 97	-0.33	2.701	< 0.1	-3.718
hsa-miR-181a-5p	500-507	8mer	-0.34	 97	-0.34	2.701	< 0.1	-3.718
hsa-miR-4262	500-507	8mer	-0.23	 97	-0.23	2.701	< 0.1	-3.789
hsa-miR-181b-5p	500-507	8mer	-0.34	 97	-0.34	2.701	< 0.1	-3.822
hsa-miR-181d-5p	500-507	8mer	-0.33	 97	-0.33	2.701	< 0.1	-3.822
hsa-miR-331-3p	731-738	8mer	-0.28	 97	-0.28	3.833	N/A	-2.456
Poorly conserved sites
hsa-miR-5196-5p	18-25	8mer	-0.55	 99	-0.55	0.000	N/A	N/A
hsa-miR-4747-5p	18-25	8mer	-0.56	 99	-0.56	0.000	N/A	N/A
hsa-miR-450a-1-3p	20-27	8mer	-0.32	 98	-0.32	0.048	N/A	N/A
hsa-miR-3122	21-27	7mer-1A	-0.11	 94	-0.11	0.048	N/A	N/A
hsa-miR-3913-5p	21-27	7mer-1A	-0.14	 93	-0.14	0.048	N/A	N/A
hsa-miR-6513-5p	21-27	7mer-1A	-0.14	 92	-0.14	0.000	N/A	N/A
hsa-miR-887-5p	21-27	7mer-1A	-0.19	 89	-0.19	0.000	N/A	N/A
hsa-miR-6740-5p	22-28	7mer-m8	-0.25	 92	-0.25	0.000	N/A	N/A
hsa-miR-6825-5p	30-36	7mer-m8	-0.30	 89	-0.30	0.000	N/A	N/A
hsa-miR-6722-3p	33-39	7mer-m8	-0.36	 97	-0.36	0.000	N/A	N/A
hsa-miR-1909-3p	33-39	7mer-m8	-0.31	 95	-0.31	0.000	N/A	N/A
hsa-miR-1207-5p	34-40	7mer-m8	-0.36	 97	-0.36	0.000	N/A	N/A
hsa-miR-4763-3p	34-40	7mer-m8	-0.31	 96	-0.31	0.000	N/A	N/A
hsa-miR-6721-5p	35-41	7mer-m8	-0.29	 94	-0.29	0.000	N/A	N/A
hsa-miR-486-3p	36-43	8mer	-0.52	 98	-0.52	0.000	N/A	N/A
hsa-miR-4260	38-44	7mer-m8	-0.37	 97	-0.37	0.000	N/A	N/A
hsa-miR-1227-5p	38-44	7mer-1A	-0.18	 87	-0.18	0.048	N/A	N/A
hsa-miR-6881-5p	53-59	7mer-m8	-0.36	 95	-0.36	0.000	N/A	N/A
hsa-miR-6835-5p	54-60	7mer-m8	-0.39	 97	-0.39	0.000	N/A	N/A
hsa-miR-6732-5p	55-61	7mer-m8	-0.40	 98	-0.40	0.000	N/A	N/A
hsa-miR-4779	58-64	7mer-m8	-0.35	 98	-0.35	0.000	N/A	N/A
hsa-miR-6891-5p	59-65	7mer-m8	-0.23	 93	-0.23	0.054	N/A	N/A
hsa-miR-3173-3p	59-65	7mer-m8	-0.21	 92	-0.21	0.054	N/A	N/A
hsa-miR-1252-5p	61-67	7mer-1A	-0.20	 90	-0.20	0.013	N/A	-2.670
hsa-miR-6804-5p	70-77	8mer	-0.55	 99	-0.55	0.000	N/A	N/A
hsa-miR-6834-5p	72-78	7mer-1A	-0.23	 94	-0.23	0.000	N/A	N/A
hsa-miR-6734-5p	72-78	7mer-1A	-0.25	 89	-0.25	0.000	N/A	N/A
hsa-miR-1226-5p	72-78	7mer-1A	-0.18	 89	-0.18	0.000	N/A	N/A
hsa-miR-377-5p	76-82	7mer-m8	-0.30	 97	-0.30	0.000	N/A	N/A
hsa-miR-6086	76-82	7mer-m8	-0.25	 97	-0.25	0.000	N/A	N/A
hsa-miR-5197-3p	80-86	7mer-m8	-0.11	 87	-0.11	0.000	N/A	N/A
hsa-miR-6807-5p	86-93	8mer	-0.32	 99	-0.32	0.000	N/A	N/A
hsa-miR-8055	88-95	8mer	-0.29	 98	-0.29	0.000	N/A	N/A
hsa-miR-4753-3p	94-101	8mer	-0.24	 96	-0.24	0.000	N/A	N/A
hsa-miR-130b-5p	94-100	7mer-1A	-0.01	 51	-0.01	0.048	N/A	N/A
hsa-miR-6809-3p	95-101	7mer-m8	-0.07	 82	-0.07	0.000	N/A	N/A
hsa-miR-5571-5p	97-103	7mer-m8	-0.14	 96	-0.14	0.000	N/A	N/A
