miRNA	Position in the UTR	seed match	context++ score	context++ score percentile	weighted context++ score	conserved branch length	Pct	Predicted relative KD
Conserved sites
No conserved sites found
Poorly conserved sites
hsa-miR-5701	15-22	8mer	-0.04	 71	-0.04	0.000	N/A	N/A
hsa-miR-325-3p	17-23	7mer-1A	-0.01	 24	-0.01	1.124	N/A	-2.395
hsa-miR-32-3p	20-26	7mer-1A	-0.01	 55	-0.01	0.000	N/A	N/A
hsa-miR-95-5p	24-30	7mer-1A	-0.09	 81	-0.09	0.076	N/A	N/A
hsa-miR-6730-5p	37-43	7mer-m8	-0.03	 53	-0.03	0.000	N/A	N/A
hsa-miR-3978	39-45	7mer-m8	-0.02	 64	-0.02	0.000	N/A	N/A
hsa-miR-875-3p	40-46	7mer-m8	-0.02	 33	-0.02	0.076	N/A	N/A
hsa-miR-548av-3p	44-50	7mer-1A	-0.01	 51	-0.01	0.000	N/A	N/A
hsa-miR-548g-3p	44-50	7mer-1A	-0.01	 42	-0.01	0.000	N/A	N/A
hsa-miR-340-5p	47-53	7mer-1A	-0.01	 51	-0.01	0.014	N/A	-2.153
hsa-miR-145-5p	55-61	7mer-1A	-0.09	 79	-0.09	0.208	< 0.1	-3.854
hsa-miR-5195-3p	55-61	7mer-1A	-0.12	 76	-0.12	0.208	< 0.1	-3.950
hsa-miR-6074	59-65	7mer-1A	-0.07	 89	-0.07	0.000	N/A	N/A
hsa-miR-203a-3p.2	66-72	7mer-1A	-0.01	 50	-0.01	1.745	0.12	-2.305
hsa-miR-510-3p	67-73	7mer-1A	-0.01	 43	-0.01	0.000	N/A	N/A
hsa-miR-5087	70-76	7mer-1A	-0.11	 85	-0.11	0.000	N/A	N/A
hsa-miR-203a-5p	72-78	7mer-1A	-0.15	 81	-0.15	0.000	N/A	N/A
hsa-miR-1273g-5p	72-78	7mer-1A	-0.12	 81	-0.12	0.000	N/A	N/A
hsa-miR-147a	74-80	7mer-m8	-0.23	 98	-0.23	0.014	N/A	-4.082
hsa-miR-644a	74-80	7mer-1A	-0.26	 92	-0.26	0.000	N/A	N/A
hsa-miR-3911	74-80	7mer-1A	-0.22	 91	-0.22	0.000	N/A	N/A
hsa-miR-8066	77-83	7mer-1A	-0.19	 94	-0.19	0.000	N/A	N/A
hsa-miR-4803	88-94	7mer-m8	-0.04	 72	-0.04	0.000	N/A	N/A
hsa-miR-19a-3p	93-99	7mer-1A	-0.15	 76	-0.15	0.266	< 0.1	-4.566
hsa-miR-19b-3p	93-99	7mer-1A	-0.15	 76	-0.15	0.266	< 0.1	-4.566
hsa-miR-4289	96-103	8mer	-0.12	 91	-0.12	0.000	N/A	N/A
hsa-miR-6758-3p	99-105	7mer-1A	-0.01	 37	-0.01	0.000	N/A	N/A
hsa-miR-627-3p	103-110	8mer	-0.11	 87	-0.11	0.000	N/A	N/A
hsa-miR-4735-5p	110-116	7mer-m8	-0.06	 84	-0.06	0.000	N/A	N/A
hsa-miR-5583-5p	112-118	7mer-m8	-0.11	 92	-0.11	0.000	N/A	N/A
hsa-miR-3129-3p	112-118	7mer-m8	-0.10	 91	-0.10	0.000	N/A	N/A
hsa-miR-4738-3p	115-121	7mer-1A	-0.29	 98	-0.29	0.000	N/A	N/A
hsa-miR-510-3p	116-123	8mer	-0.15	 97	-0.15	0.000	N/A	N/A
hsa-miR-653-5p	116-122	7mer-1A	-0.19	 95	-0.19	1.053	N/A	-4.404
hsa-miR-513a-3p	121-127	7mer-1A	-0.01	 57	-0.01	0.000	N/A	N/A
hsa-miR-513c-3p	121-127	7mer-1A	-0.01	 57	-0.01	0.000	N/A	N/A
hsa-miR-3606-3p	121-127	7mer-1A	-0.01	 57	-0.01	0.000	N/A	N/A
