miRNA	Position in the UTR	seed match	context++ score	context++ score percentile	weighted context++ score	conserved branch length	Pct	Predicted relative KD
Conserved sites
hsa-miR-4458	21-28	8mer	-0.67	 99	-0.67	4.512	0.94	-4.881
hsa-let-7d-5p	21-28	8mer	-0.64	 99	-0.64	4.512	0.94	-5.558
hsa-let-7i-5p	21-28	8mer	-0.63	 99	-0.63	4.512	0.94	-5.796
hsa-let-7c-5p	21-28	8mer	-0.63	 99	-0.63	4.512	0.94	-5.796
hsa-let-7e-5p	21-28	8mer	-0.63	 99	-0.63	4.512	0.94	-5.114
hsa-let-7g-5p	21-28	8mer	-0.63	 99	-0.63	4.512	0.94	-5.796
hsa-let-7f-5p	21-28	8mer	-0.63	 99	-0.63	4.512	0.94	-5.796
hsa-let-7b-5p	21-28	8mer	-0.63	 99	-0.63	4.512	0.94	-5.796
hsa-let-7a-5p	21-28	8mer	-0.63	 99	-0.63	4.512	0.94	-5.796
hsa-miR-98-5p	21-28	8mer	-0.63	 99	-0.63	4.512	0.94	-5.796
hsa-miR-4500	21-28	8mer	-0.63	 99	-0.63	4.512	0.94	-5.796
hsa-miR-490-3p	216-222	7mer-m8	-0.24	 96	-0.24	3.989	< 0.1	-3.243
hsa-miR-33a-5p	262-269	8mer	-0.34	 99	-0.34	2.716	< 0.1	-4.598
hsa-miR-33b-5p	262-269	8mer	-0.34	 99	-0.34	2.716	< 0.1	-4.688
hsa-miR-148a-3p	373-379	7mer-m8	-0.22	 88	-0.22	3.877	0.47	-4.453
hsa-miR-148b-3p	373-379	7mer-m8	-0.22	 88	-0.22	3.877	0.47	-4.888
hsa-miR-152-3p	373-379	7mer-m8	-0.22	 88	-0.22	3.877	0.47	-4.949
hsa-miR-365a-3p	415-421	7mer-m8	-0.26	 93	-0.26	4.356	0.35	-2.990
hsa-miR-365b-3p	415-421	7mer-m8	-0.26	 93	-0.26	4.356	0.35	-2.990
hsa-miR-9-5p	509-516	8mer	-0.38	 99	-0.38	4.415	0.87	-3.176
hsa-miR-1297	565-571	7mer-m8	-0.22	 95	-0.22	3.598	0.38	-4.424
